date,area,total_workforce_jobs,employee_jobs,self_employment_jobs
Mar-05,UK,31356985,27579660,3493495
Jun-05,UK,31403800,27625580,3501806
Sep-05,UK,31541152,27730717,3533639
Dec-05,UK,31628586,27784245,3569405
Mar-06,UK,31708853,27831410,3607458
Jun-06,UK,31810363,27953465,3592591
Sep-06,UK,31949018,28018795,3660240
Dec-06,UK,32064042,28101807,3684005
Mar-07,UK,32007343,28044911,3689238
Jun-07,UK,32086866,28111874,3696373
Sep-07,UK,32218148,28228244,3721521
Dec-07,UK,32248063,28267892,3710130
Mar-08,UK,32292887,28300046,3717259
Jun-08,UK,32347161,28357267,3722549
Sep-08,UK,32312856,28364115,3688495
Dec-08,UK,32117884,28131297,3724342
Mar-09,UK,31924852,27908352,3741886
Jun-09,UK,31730330,27731901,3726339
Sep-09,UK,31604844,27564693,3773670
Dec-09,UK,31465266,27428114,3758285
Mar-10,UK,31497101,27374191,3835496
Jun-10,UK,31561004,27393350,3880586
Sep-10,UK,31504629,27349926,3878690
Dec-10,UK,31552937,27306941,3967597
Mar-11,UK,31652535,27424665,3954207
Jun-11,UK,31558717,27342914,3966767
Sep-11,UK,31774983,27399953,4130889
Dec-11,UK,31793422,27461788,4081130
Mar-12,UK,32167922,27715987,4183081
Jun-12,UK,32091279,27587523,4226023
Sep-12,UK,32027234,27516208,4230241
Dec-12,UK,31975685,27539777,4156498
Mar-13,UK,32194895,27725288,4189828
Jun-13,UK,32236912,27819025,4161653
Sep-13,UK,32460001,27929208,4266522
Dec-13,UK,32820675,28131833,4448602
Mar-14,UK,33151735,28362035,4546878
Jun-14,UK,33445941,28653545,4548100
Sep-14,UK,33572567,28804671,4525850
Dec-14,UK,33675482,28969948,4477853
Mar-15,UK,33821205,29216322,4376553
Jun-15,UK,33899045,29278148,4390049
Sep-15,UK,34079393,29400048,4460530
Dec-15,UK,34139557,29506376,4419493
Mar-16,UK,34389120,29734990,4428508
Jun-16,UK,34572385,29837339,4522504
Sep-16,UK,34596294,29898729,4491240
Dec-16,UK,34653794,29908674,4531593
Mar-17,UK,34865202,30144340,4502335
Jun-17,UK,34864388,30115219,4548647
Sep-17,UK,34947724,30218755,4527224
Dec-17,UK,34856402,30187554,4482625
Mar-18,UK,34948869,30270687,4496281
Jun-18,UK,35027761,30310614,4535784
Sep-18,UK,35103972,30450576,4477393
Dec-18,UK,35282936,30521305,4588563
Mar-19,UK,35553726,30715905,4657448
Jun-19,UK,35667361,30800327,4673173
Sep-19,UK,35752763,30952483,4618226
Dec-19,UK,35831620,30952169,4691769
Mar-20,UK,35831520,31096977,4549073
Mar-05,London,4676808,4157412,508551
Jun-05,London,4698553,4166504,521488
Sep-05,London,4733243,4196735,526181
Dec-05,London,4757405,4209580,537199
Mar-06,London,4766499,4194909,561542
Jun-06,London,4776225,4208065,554303
Sep-06,London,4763512,4206359,542887
Dec-06,London,4780687,4216602,550023
Mar-07,London,4791978,4222261,552594
Jun-07,London,4797099,4246990,533443
Sep-07,London,4851733,4279620,555106
Dec-07,London,4883650,4308027,560266
Mar-08,London,4917197,4347498,551176
Jun-08,London,4962143,4388355,558009
Sep-08,London,4989041,4393742,583268
Dec-08,London,5017263,4409991,595460
Mar-09,London,4916870,4326554,576136
Jun-09,London,4898247,4287249,594628
Sep-09,London,4822102,4223922,582446
Dec-09,London,4798300,4228179,553315
Mar-10,London,4822079,4233788,571012
Jun-10,London,4851437,4250599,585241
Sep-10,London,4820127,4220604,588765
Dec-10,London,4869569,4252724,601576
Mar-11,London,4863657,4289447,561435
Jun-11,London,4879551,4297926,571634
Sep-11,London,4960523,4330845,619669
Dec-11,London,4986931,4343916,631162
Mar-12,London,5120819,4469108,631074
Jun-12,London,5127806,4445091,657821
Sep-12,London,5137060,4456840,660794
Dec-12,London,5147746,4470710,651461
Mar-13,London,5241558,4549673,666203
Jun-13,London,5227092,4551533,659385
Sep-13,London,5275340,4595731,663528
Dec-13,London,5380989,4644726,722616
Mar-14,London,5443204,4652880,775449
Jun-14,London,5526199,4714644,796924
Sep-14,London,5521415,4751744,753951
Dec-14,London,5545811,4788759,743256
Mar-15,London,5578519,4854910,708697
Jun-15,London,5601774,4857657,726674
Sep-15,London,5633913,4905856,711527
Dec-15,London,5660065,4926152,721630
Mar-16,London,5710501,4940122,759812
Jun-16,London,5776292,5020537,745179
Sep-16,London,5775376,5022916,742655
Dec-16,London,5784019,5021778,749114
Mar-17,London,5827931,5064688,747556
Jun-17,London,5897311,5103156,781110
Sep-17,London,5900908,5122591,766988
Dec-17,London,5930603,5121213,799901
Mar-18,London,5963681,5161026,794428
Jun-18,London,5970807,5143834,817545
Sep-18,London,5981709,5199034,773868
Dec-18,London,5999852,5243005,749384
Mar-19,London,6105177,5300533,797732
Jun-19,London,6070558,5323508,738301
Sep-19,London,6053568,5259848,786221
Dec-19,London,6134150,5304787,821258
Mar-20,London,6144464,5350797,782640
